PACKAGE,TYPE,LINE,Ce,NOP,LCOM-CK,LCOM-HS %,LCOM-TC %,LCOM-PFI %,NOF,LOCm,NLS,WMC,CC,NOS,NOL,FE
ch.hsr.se2p.mrt,ISO8601DateParserHelperForTests,11,8,1,,,,,0,21,5,6,3,22,2,
ch.hsr.se2p.mrt,R,10,1,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt,R.attr,11,1,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt,R.drawable,13,2,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt,R.id,22,2,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt,R.layout,45,2,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt,R.menu,51,2,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt,R.string,54,2,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt,R.xml,62,2,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt.activities,ActivityHelper,11,6,3,,,,,0,8,0,3,1,7,1,
ch.hsr.se2p.mrt.activities,LocationListenerAdapter,10,6,3,,,,,0,3,0,4,1,0,1,0
ch.hsr.se2p.mrt.activities,LocationService,9,10,2,4,81,131,89,5,9,0,7,1,8,1,0
ch.hsr.se2p.mrt.activities,LocationService$(anonymous),11,3,1,,,,,0,6,,2,2,3,1,3
ch.hsr.se2p.mrt.activities,LoginActivity,21,13,2,0,63,196,65,4,12,0,11,2,11,2,1
ch.hsr.se2p.mrt.activities,LoginActivity$(anonymous),53,3,1,,,,,0,,0,1,1,1,1,1
ch.hsr.se2p.mrt.activities,LoginActivityTest,14,15,3,0,77,190,76,6,15,1,20,2,19,2,1
ch.hsr.se2p.mrt.activities,LoginActivityTest$(anonymous),201,2,0,,,,,0,,0,1,1,3,1,3
ch.hsr.se2p.mrt.activities,LoginActivityTest$(anonymous),212,2,0,,,,,0,,0,1,1,1,1,1
ch.hsr.se2p.mrt.activities,MRTApplicationTest,8,6,1,0,40,100,33,2,7,0,6,1,10,1,4
ch.hsr.se2p.mrt.activities,MRTAutocompleteSpinner,16,12,2,0,0,0,0,1,8,0,10,2,7,2,0
ch.hsr.se2p.mrt.activities,MRTAutocompleteSpinner$(anonymous),39,3,1,,,,,0,,0,1,1,1,1,1
ch.hsr.se2p.mrt.activities,Measurement,12,12,5,0,38,17,60,2,11,0,15,4,11,3,1
ch.hsr.se2p.mrt.activities,TimeEntryActivity,44,41,3,40,87,154,94,7,15,1,41,4,12,2,3
ch.hsr.se2p.mrt.activities,TimeEntryActivity$(anonymous),54,3,1,,,,,0,5,,1,1,2,1,2
ch.hsr.se2p.mrt.activities,TimeEntryActivity$(anonymous),87,2,0,,,,,0,,0,1,1,2,1,2
ch.hsr.se2p.mrt.activities,TimeEntryActivityDemoTest,8,5,0,,,,,1,15,1,8,2,8,2,0
ch.hsr.se2p.mrt.activities,TimeEntryActivityTest,21,24,1,35,84,269,84,9,16,2,31,3,15,2,0
ch.hsr.se2p.mrt.activities,TimeEntryActivityTest$(anonymous),145,2,0,,,,,0,,0,1,1,1,1,1
ch.hsr.se2p.mrt.activities,TimeEntryActivityTest$(anonymous),211,2,0,,,,,0,,0,1,1,1,1,2
ch.hsr.se2p.mrt.activities,TimeEntryActivityTest$(anonymous),220,2,0,,,,,0,,0,1,1,2,1,2
ch.hsr.se2p.mrt.activities,TimeEntryActivityTest$(anonymous),235,2,0,,,,,0,,0,1,1,2,1,2
ch.hsr.se2p.mrt.application,MRTApplication,12,7,3,17,78,135,87,4,10,0,12,2,8,2,0
ch.hsr.se2p.mrt.database,DatabaseHelper,22,18,4,2,75,156,67,4,12,1,18,3,8,3,2
ch.hsr.se2p.mrt.database,DatabaseHelperTest,8,5,0,,,,,0,11,0,1,1,14,1,1
ch.hsr.se2p.mrt.database,DatabaseSpec,8,8,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt.database.mocks,DatabaseHelperMock,7,2,1,0,0,0,0,1,4,0,2,1,2,1,0
ch.hsr.se2p.mrt.interfaces,Confirmable,9,,1,,,,,,,,,,,,
ch.hsr.se2p.mrt.interfaces,Receivable,11,,1,,,,,,,,,,,,
ch.hsr.se2p.mrt.interfaces,Transmittable,9,,1,,,,,,,,,,,,
ch.hsr.se2p.mrt.models,Customer,16,15,4,83,94,204,95,9,11,0,40,4,14,2,0
ch.hsr.se2p.mrt.models,CustomerTest,12,11,0,0,44,112,39,3,16,1,6,2,21,2,7
ch.hsr.se2p.mrt.models,GpsPosition,15,11,4,0,60,69,80,3,11,2,11,2,7,2,0
ch.hsr.se2p.mrt.models,GpsPositionTest,5,3,0,0,0,0,0,1,7,0,2,1,8,1,0
ch.hsr.se2p.mrt.models,ISO8601DateParser,13,6,2,,,,,0,14,1,5,2,18,2,
ch.hsr.se2p.mrt.models,TimeEntry,21,16,1,112,96,234,94,8,12,2,35,4,12,2,0
ch.hsr.se2p.mrt.models,TimeEntryTest,15,12,0,0,50,32,83,2,23,6,11,3,35,2,3
ch.hsr.se2p.mrt.models,TimeEntryType,15,11,2,27,89,174,92,7,11,0,15,3,12,2,0
ch.hsr.se2p.mrt.models,TimeEntryTypeTest,12,10,0,0,33,92,22,3,12,1,5,2,15,2,1
ch.hsr.se2p.mrt.models,User,15,9,1,11,86,210,78,4,13,0,10,2,18,2,0
ch.hsr.se2p.mrt.models,UserTest,10,7,0,0,44,112,39,3,13,1,5,2,16,2,3
ch.hsr.se2p.mrt.network,CustomerHelper,14,17,3,0,0,0,0,1,13,3,13,3,13,3,2
ch.hsr.se2p.mrt.network,CustomerHelperTest,15,16,6,0,0,0,0,1,14,0,19,4,25,4,7
ch.hsr.se2p.mrt.network,HttpHelper,22,16,3,0,0,0,0,1,15,2,14,3,14,2,0
ch.hsr.se2p.mrt.network,HttpHelperTest,6,1,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt.network,HttpTestCase,17,4,1,0,0,0,0,1,23,0,1,2,7,5,0
ch.hsr.se2p.mrt.network,HttpTestCase$(anonymous),21,4,0,,,,,0,,0,1,2,6,4,0
ch.hsr.se2p.mrt.network,HttpTestCase$(anonymous)$(anonymous),24,7,1,,,,,0,,0,1,3,5,3,0
ch.hsr.se2p.mrt.network,HttpTestCase$(anonymous)$(anonymous)$(anonymous),27,4,0,,,,,0,,1,2,2,4,2,0
ch.hsr.se2p.mrt.network,NetworkConfig,3,2,0,,,,,0,2,0,1,1,0,1,0
ch.hsr.se2p.mrt.network,SynchronizationException,3,2,1,,,,,0,3,0,1,1,1,1,0
ch.hsr.se2p.mrt.network,TimeEntryHelper,12,11,1,0,0,0,0,1,14,3,9,4,14,2,2
ch.hsr.se2p.mrt.network,TimeEntryHelperTest,7,4,0,,,,,0,11,0,1,1,10,1,3
ch.hsr.se2p.mrt.network,TimeEntryTypeHelper,13,17,3,0,0,0,0,1,13,3,13,3,11,3,2
ch.hsr.se2p.mrt.network,UserHelper,10,9,3,0,0,0,0,1,13,2,6,4,10,2,0
ch.hsr.se2p.mrt.network,UserHelperTest,8,8,0,,,,,0,15,0,4,1,23,1,5
ch.hsr.se2p.mrt.network.mocks,MockHttpClient,16,19,4,,,,,0,5,0,10,1,1,1,0
ch.hsr.se2p.mrt.network.mocks,MockHttpEntity,10,9,1,,,,,0,4,0,9,1,1,1,0
ch.hsr.se2p.mrt.network.mocks,MockHttpResponse,13,13,3,,,,,0,4,0,27,1,1,1,0
ch.hsr.se2p.mrt.services,CustomerSynchronizer,21,18,3,0,50,0,75,2,13,3,24,4,15,4,1
ch.hsr.se2p.mrt.services,CustomerSynchronizerTest,6,1,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt.services,SynchronizationService,12,8,3,0,50,0,50,2,8,0,4,1,4,1,0
ch.hsr.se2p.mrt.services,SynchronizationServiceSpec,3,5,0,,,,,0,3,0,1,1,1,1,0
ch.hsr.se2p.mrt.services,SynchronizationServiceTask,14,12,1,0,67,12,83,3,12,2,10,3,12,3,3
ch.hsr.se2p.mrt.services,SynchronizationServiceTaskTest,6,1,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt.services,SynchronizationServiceTest,6,1,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt.services,Synchronizer,6,,0,,,,,,,,,,,,
ch.hsr.se2p.mrt.services,TimeEntrySynchronizer,17,11,3,0,50,0,80,2,15,2,19,3,12,3,2
ch.hsr.se2p.mrt.services,TimeEntrySynchronizerTest,6,1,,,,,,0,,,0,,,,
ch.hsr.se2p.mrt.services,TimeEntryTypeSynchronizer,20,16,3,0,0,0,0,2,13,3,17,4,12,4,1
ch.hsr.se2p.mrt.services,TimeEntryTypeSynchronizerTest,6,1,,,,,,0,,,0,,,,
